Date,R_AAPL,R_CSCO,R_HD,R_VZ,RF,Rm-Rf,RW5000,RW5000-RF
1994/10/1,0.282005845,0.100456789,0.08333336,-0.011792354,0.0038,0.0134,0.014842168,0.011042168
1994/11/1,-0.13748337,0.070539689,0.01648355,-0.042959505,0.0037,-0.0404,-0.039279636,-0.042979636
1994/12/1,0.046979906,0.089147146,-0.005405449,-0.007481296,0.0044,0.0086,0.011143335,0.006743335
1995/1/1,0.035257055,-0.049821947,0.016304381,0.090452344,0.0042,0.018,0.019992817,0.015792817
1995/2/1,-0.021670444,0.011235773,-0.040106984,-0.011520804,0.004,0.0363,0.037245758,0.033245758
1995/3/1,-0.107596426,0.129629867,-0.013927588,-0.013986013,0.0046,0.0219,0.024255297,0.019655297
1995/4/1,0.085107329,0.045901525,-0.056497121,0.033096994,0.0044,0.0211,0.023467553,0.019067553
1995/5/1,0.086601585,0.097178774,-0.002994036,0.016018196,0.0054,0.029,0.031158279,0.025758279
1995/6/1,0.117293732,0.155714166,-0.021020973,0.009009102,0.0047,0.0272,0.030035861,0.025335861
1995/7/1,-0.030955981,0.102595631,0.079754573,0.022321399,0.0045,0.0372,0.039839036,0.035339036
1995/8/1,-0.044444057,0.177130022,-0.0909091,0.039301306,0.0047,0.0055,0.007267339,0.002567339
1995/9/1,-0.133722641,0.051428576,-0.003125025,0.031512602,0.0043,0.0335,0.036476239,0.032176239
1995/10/1,-0.025166196,0.123188619,-0.065830684,0.034623202,0.0047,-0.0152,-0.011324945,-0.016024945
1995/11/1,0.049913793,0.085483733,0.191275122,-0.007873992,0.0042,0.0396,0.039910347,0.035710347
1995/12/1,-0.163935582,-0.112927242,0.076056339,0.061507906,0.0049,0.0103,0.014608058,0.009708058
1996/1/1,-0.133331928,0.115577979,-0.036649226,0.029906551,0.0043,0.0226,0.025526584,0.021226584
1996/2/1,-0.004524593,0.141141189,-0.059782599,-0.039927412,0.0039,0.0133,0.015362676,0.011462676
1996/3/1,-0.106819367,-0.02368421,0.104046244,-0.064272184,0.0039,0.0073,0.009297259,0.005397259
1996/4/1,-0.0076331,0.118598356,-0.007853372,0.050505021,0.0046,0.0206,0.023390272,0.018790272
1996/5/1,0.071794848,0.055421609,0.079155639,-0.040384612,0.0042,0.0236,0.024952463,0.020752463
1996/6/1,-0.196172495,0.034246687,0.056234729,0.02204411,0.004,-0.0114,-0.009671513,-0.013671513
1996/7/1,0.047621333,-0.086092764,-0.067129667,-0.072549024,0.0045,-0.0597,-0.055308174,-0.059808174
1996/8/1,0.10227105,0.019323652,0.054590652,-0.048625775,0.0041,0.0277,0.029932663,0.025832663
1996/9/1,-0.085050666,0.17654025,0.070588204,0.064444424,0.0044,0.0501,0.051543185,0.047143185
1996/10/1,0.036617315,-0.0030211,-0.035164879,0.006263047,0.0042,0.0086,0.012663998,0.008463998
1996/11/1,0.048914817,0.096969745,-0.050113888,0.04356846,0.0041,0.0625,0.064342262,0.060242262
1996/12/1,-0.134715555,-0.062615202,-0.038369267,0.029821071,0.0046,-0.017,-0.012872745,-0.017472745
1997/1/1,-0.203590437,0.096267259,-0.012468838,0.038610092,0.0045,0.0499,0.05244301,0.04794301
1997/2/1,-0.022561608,-0.202508903,0.103535364,0.027881037,0.0039,-0.0049,-0.002160846,-0.006060846
1997/3/1,0.123076181,-0.134831559,-0.020594965,-0.12115735,0.0043,-0.0503,-0.045756174,-0.050056174
1997/4/1,-0.068488947,0.07532472,0.084112149,0.115226313,0.0043,0.0404,0.042387051,0.038087051
1997/5/1,-0.02205737,0.309178783,0.088362077,0.033210296,0.0049,0.0674,0.069050397,0.064150397
1997/6/1,-0.142860992,-0.009225166,0.093069266,0.08392862,0.0037,0.041,0.044581715,0.040881715
1997/7/1,0.228071554,0.185288723,0.082880545,-0.043657293,0.0043,0.0733,0.075570964,0.071270964
1997/8/1,0.2428544,-0.052631603,-0.052697672,-0.002583994,0.0041,-0.0415,-0.038914018,-0.043014018
1997/9/1,-0.002873386,-0.030679881,0.104635738,0.111398904,0.0044,0.0535,0.057630255,0.053230255
1997/10/1,-0.21469443,0.122754388,0.069544288,-0.005438927,0.0042,-0.038,-0.034308579,-0.038508579
1997/11/1,0.04219906,0.051428573,0.005605453,0.115624946,0.0039,0.0298,0.031265863,0.027365863
1997/12/1,-0.260559559,-0.030434714,0.050167224,0.019607858,0.0048,0.0132,0.017037128,0.012237128
1998/1/1,0.39522818,0.131165915,0.027600917,0.017170283,0.0043,0.0015,0.004582545,0.000282545
1998/2/1,0.29010911,0.044598611,0.05578512,-0.030384837,0.0039,0.0704,0.071261631,0.067361631
1998/3/1,0.164019759,0.037950602,0.058708411,0.139275735,0.0039,0.0476,0.048796503,0.044896503
1998/4/1,-0.004545158,0.071297991,0.030499074,-0.084963322,0.0043,0.0073,0.01094747,0.00664747
1998/5/1,-0.027399558,0.032423264,0.127354195,-0.020708014,0.004,-0.0307,-0.027845572,-0.031845572
1998/6/1,0.077464107,0.21735534,0.057279236,-0.004092817,0.0041,0.0318,0.033878667,0.029778667
1998/7/1,0.206974365,0.040054289,0.008276948,-0.006164371,0.004,-0.0246,-0.022820656,-0.026820656
1998/8/1,-0.099278025,-0.144908619,-0.089552235,-0.026878024,0.0043,-0.1608,-0.156862673,-0.161162673
1998/9/1,0.222444875,0.132442776,0.036065467,0.097733726,0.0046,0.0615,0.063865028,0.059265028
1998/10/1,-0.026230751,0.019211325,0.102848208,0.098064489,0.0032,0.0713,0.073327787,0.070127787
1998/11/1,-0.139730838,0.196428571,0.142037296,0.045828474,0.0031,0.061,0.061602675,0.058502675
1998/12/1,0.281800137,0.231343284,0.229899488,-0.029213473,0.0038,0.0616,0.062664517,0.058864517
1999/1/1,0.006109222,0.202020202,-0.01123602,0.111111075,0.0035,0.035,0.035982947,0.032482947
1999/2/1,-0.154780745,-0.1232493,-0.013429686,-0.039583323,0.0035,-0.0408,-0.037420585,-0.040920585
1999/3/1,0.032317116,0.120127796,0.042931902,-0.103036877,0.0043,0.0345,0.037354851,0.033054851
1999/4/1,0.279997257,0.041072447,-0.040160675,0.114873035,0.0037,0.0433,0.047122137,0.043422137
1999/5/1,-0.042119334,-0.044383562,-0.053347282,-0.049891521,0.0034,-0.0246,-0.023052618,-0.026452618
1999/6/1,0.051063127,0.18233945,0.139226524,0.194063852,0.004,0.0477,0.050668972,0.046668972
1999/7/1,0.202430932,-0.035887488,-0.009699259,-0.021032492,0.0038,-0.0349,-0.031291505,-0.035091505
1999/8/1,0.171716176,0.091549296,-0.036239012,-0.041992137,0.0039,-0.0138,-0.012109214,-0.016009214
1999/9/1,-0.029693317,0.011059908,0.115853659,0.097859295,0.0039,-0.0279,-0.027273242,-0.031173242
1999/10/1,0.265548656,0.079307201,0.103825137,-0.035283184,0.0039,0.0612,0.062797777,0.058897777
1999/11/1,0.221528595,0.205236486,0.045379564,-0.017805634,0.0036,0.0337,0.032333228,0.028733228
1999/12/1,0.050447199,0.201121233,0.302288838,-0.034786881,0.0044,0.0772,0.074754551,0.070354551
